location,size,total_sqft,bath,price,enc_loc
Akshaya Nagar,3,1662.0,3,85.0,12
Raja Rajeshwari Nagar,3,1560.0,2,62.4,176
Thanisandra,3,1634.0,3,78.0,199
Whitefield,3,1150.0,2,44.0,213
others,2,1100.0,2,53.0,219
Yelahanka,3,1616.0,3,65.0,215
Babusapalaya,3,1675.0,3,75.0,25
others,5,2000.0,4,103.0,219
Hulimavu,2,1248.0,2,69.0,99
others,2,1147.0,2,54.0,219
Sultan Palaya,2,1100.0,2,40.0,196
Kanakpura Road,1,525.0,1,25.0,120
Kaggadasapura,2,1100.0,2,58.0,111
Kanakapura,3,1476.0,3,75.0,119
others,3,2100.0,3,75.0,219
others,3,1215.0,2,46.5,219
Ambalipura,2,1332.0,2,79.0,13
Hennur Road,2,1350.0,2,49.0,90
NGR Layout,2,1105.0,2,49.73,159
Kasavanhalli,2,1200.0,2,50.0,123
Ramagondanahalli,2,1251.0,2,47.4,179
Pai Layout,3,1400.0,2,67.0,171
NRI Layout,5,2500.0,5,130.0,160
Varthur,3,1250.0,3,71.0,206
Jigani,2,933.0,2,43.0,106
Brookefield,2,1262.0,2,75.0,49
Yelahanka,2,915.0,2,48.0,215
Panathur,3,1370.0,2,61.5,172
Malleshpalya,2,1210.0,2,55.0,151
others,3,1500.0,2,85.0,219
others,2,1065.0,2,50.0,219
Ramamurthy Nagar,3,1515.0,3,65.0,180
Sarjapura - Attibele Road,4,1800.0,4,110.0,186
Uttarahalli,3,1300.0,2,55.0,205
Vijayanagar,2,989.0,2,60.0,209
Marathahalli,2,1045.0,2,60.0,153
others,2,1260.0,2,75.0,219
others,2,1199.0,2,50.0,219
Nagarbhavi,3,1350.0,2,54.6,161
Chandapura,2,630.0,1,27.0,52
Sarjapur  Road,2,1084.0,2,55.0,185
Hennur Road,3,1186.0,2,56.0,90
Kengeri,2,1255.0,2,50.0,128
Hosa Road,3,1541.0,3,69.84,95
Raja Rajeshwari Nagar,2,1295.0,2,70.0,176
7th Phase JP Nagar,3,1370.0,2,54.79,7
Electronic City,2,1100.0,2,40.0,70
JP Nagar,2,1200.0,2,62.0,102
Gunjur,4,2000.0,3,95.0,80
Sarjapur  Road,3,1220.0,3,62.0,185
Dasanapura,3,1286.0,3,61.44,60
Begur Road,2,1160.0,2,42.0,40
Jigani,2,918.0,2,55.0,106
Electronic City,3,1563.0,3,91.84,70
others,2,1326.0,2,62.17,219
Kaggadasapura,2,1325.0,2,50.0,111
Sonnenahalli,2,1100.0,2,44.0,194
Somasundara Palya,2,1260.0,2,60.0,192
Hoodi,3,1553.0,3,83.09,91
Whitefield,2,1280.0,2,52.0,213
Hebbal,3,1550.0,2,75.0,86
Murugeshpalya,3,1550.0,3,74.0,157
Electronics City Phase 1,3,1515.0,2,80.91,72
Electronic City,3,1652.0,3,70.0,70
Seegehalli,3,1200.0,2,62.0,188
Hebbal,2,1053.0,2,48.0,86
Kadubeesanahalli,3,1665.0,3,70.0,109
Bommasandra,3,1447.0,3,80.0,47
Hormavu,1,1351.0,2,53.0,94
Gunjur,2,1140.0,2,49.11,80
Uttarahalli,3,1250.0,2,55.0,205
Garudachar Palya,3,1320.0,2,60.6,75
Akshaya Nagar,3,1662.0,3,85.5,12
Battarahalli,3,1777.0,3,100.0,38
Kadugodi,3,1900.0,3,108.0,110
Anandapura,3,1576.0,3,59.1,16
Sompura,2,1020.0,2,41.0,193
Raja Rajeshwari Nagar,1,648.0,1,31.75,176
Hoodi,2,1220.0,2,50.89,91
Vittasandra,2,1259.0,2,67.4,212
Gottigere,4,2000.0,4,82.0,77
8th Phase JP Nagar,3,1800.0,3,80.0,8
others,2,1234.0,2,61.0,219
Mysore Road,3,1340.0,2,64.31,158
Banashankari,2,1170.0,2,46.79,27
Electronics City Phase 1,2,995.0,2,46.0,72
Old Airport Road,2,1075.0,2,60.0,168
Electronic City,2,1025.0,2,54.5,70
Rachenahalli,3,2721.0,3,113.0,175
Thanisandra,3,2000.0,3,99.0,199
Mallasandra,2,1325.0,2,70.0,150
Kadugodi,2,1314.0,2,68.2,110
Kanakpura Road,3,2265.0,3,136.0,120
Yelahanka,2,1026.0,2,41.0,215
others,3,1200.0,3,66.0,219
KR Puram,2,1192.5,2,51.22,108
Sarjapur  Road,3,1888.0,4,95.0,185
Begur,3,1559.0,3,63.0,39
Whitefield,1,905.0,1,55.0,213
others,2,1069.0,2,55.0,219
Sarjapur  Road,3,1300.0,3,60.0,185
Ambedkar Nagar,3,2150.0,4,125.0,14
Marathahalli,3,1305.0,2,69.0,153
Kanakpura Road,2,1252.0,2,56.32,120
Whitefield,2,1200.0,2,46.13,213
Subramanyapura,2,1313.0,2,66.5,195
others,2,1160.0,2,41.75,219
others,2,900.0,2,45.0,219
Yelahanka New Town,3,1700.0,3,90.0,216
Uttarahalli,3,1700.0,3,88.0,205
Dasanapura,2,1500.0,3,65.0,60
others,2,1175.0,2,48.0,219
Akshaya Nagar,2,1280.0,2,60.0,12
others,2,1200.0,2,50.0,219
Electronic City,2,1070.0,2,46.0,70
TC Palaya,2,1200.0,2,66.0,197
9th Phase JP Nagar,2,1127.0,2,50.0,9
others,2,600.0,2,23.0,219
others,2,1364.0,2,70.0,219
Magadi Road,2,1345.0,2,55.0,148
others,2,1110.0,2,41.0,219
Kengeri,2,750.0,2,36.0,128
others,2,1156.0,2,49.5,219
others,2,1247.0,2,59.8,219
others,2,1058.0,2,60.0,219
Kaggalipura,2,950.0,2,48.0,112
Thanisandra,2,1050.0,2,46.0,199
Laggere,5,2800.0,5,125.0,145
others,3,1500.0,2,65.0,219
others,2,1400.0,2,65.0,219
8th Phase JP Nagar,4,2700.0,4,130.0,8
Bommasandra,2,920.0,2,37.46,47
Sarjapur  Road,3,1200.0,3,70.0,185
Haralur Road,2,1464.0,2,56.0,84
Electronics City Phase 1,3,1555.0,2,82.0,72
Whitefield,2,1150.0,2,55.0,213
Kadubeesanahalli,2,970.0,2,35.0,109
Banashankari,4,2500.0,4,95.0,27
others,2,1166.0,2,53.0,219
Electronic City,3,1350.0,3,58.0,70
others,2,900.0,2,46.0,219
others,3,1190.0,3,55.0,219
Kodichikkanahalli,3,1495.0,2,75.0,131
Banashankari Stage III,3,1350.0,2,68.0,29
Green Glen Layout,2,940.0,2,56.8,78
Raja Rajeshwari Nagar,2,1100.0,2,55.0,176
Kaikondrahalli,2,1300.0,2,61.0,113
Hoodi,2,1105.0,2,46.37,91
Yelahanka,3,1517.0,3,76.3,215
Jalahalli,3,1615.0,3,89.75,104
others,3,1500.0,3,65.0,219
Mysore Road,3,1082.0,3,50.5,158
Marathahalli,2,1365.0,2,73.0,153
Hennur Road,3,1586.0,3,93.94,90
Hennur,2,1100.0,2,60.0,89
Nagarbhavi,2,1223.0,2,60.0,161
Ananth Nagar,3,1200.0,2,65.0,17
Bharathi Nagar,2,1351.0,2,70.0,42
Thanisandra,3,1588.0,3,75.55,199
Panathur,3,1370.0,2,75.0,172
Whitefield,3,1500.0,3,71.8,213
Hoodi,2,1247.0,2,53.0,91
others,3,1460.0,2,73.0,219
Garudachar Palya,2,1150.0,2,52.8,75
Babusapalaya,2,1141.0,2,46.0,25
Kanakapura,2,1295.0,2,64.0,119
Kaggalipura,2,1000.0,2,60.0,112
Whitefield,1,630.5,1,32.79,213
Rayasandra,3,1708.0,3,75.0,181
Whitefield,4,3537.0,5,210.0,213
Hosa Road,1,615.0,1,28.29,95
Kanakpura Road,3,1530.0,2,66.4,120
Gottigere,3,1460.0,2,65.0,77
Babusapalaya,2,1084.0,2,58.0,25
Bommasandra,2,1035.0,2,41.43,47
Hosur Road,1,460.0,1,21.0,98
Whitefield,2,1285.0,2,55.9,213
AECS Layout,2,1199.0,2,65.0,10
Marathahalli,4,3800.0,4,205.0,153
Anandapura,2,1200.0,2,67.0,16
Subramanyapura,2,1050.0,2,41.0,195
Nagarbhavi,2,956.0,2,49.0,161
others,3,1596.0,3,95.0,219
Electronic City Phase II,2,1219.0,2,61.25,71
Uttarahalli,3,1200.0,3,50.0,205
Bannerghatta Road,2,1218.0,2,73.0,35
others,2,920.0,2,37.0,219
Yeshwanthpur,3,2559.0,3,141.0,218
others,1,525.0,1,26.0,219
Lingadheeranahalli,3,1530.0,2,90.0,147
Nehru Nagar,4,2363.0,5,120.0,166
Marathahalli,4,3895.0,4,220.0,153
others,2,885.0,2,40.0,219
Yelahanka,2,600.0,2,27.0,215
Kanakpura Road,2,1339.0,2,62.0,120
Uttarahalli,2,1085.0,2,43.0,205
Yeshwanthpur,3,1430.0,3,72.0,218
others,3,1490.0,2,59.6,219
others,4,1650.0,4,99.0,219
Bellandur,2,1286.0,2,57.0,41
Haralur Road,2,1000.0,2,44.0,84
Yeshwanthpur,1,673.0,1,36.85,218
Anandapura,2,1200.0,2,58.0,16
Devanahalli,5,2400.0,5,100.0,62
Sector 2 HSR Layout,2,1143.0,2,65.0,187
Kanakpura Road,2,1470.0,2,61.74,120
Marathahalli,3,1785.0,3,94.0,153
Kothanur,3,1460.0,3,71.0,139
Kasturi Nagar,3,1500.0,2,80.0,124
Chikkalasandra,2,1230.0,2,48.0,56
Thanisandra,2,1220.0,2,43.92,199
Mallasandra,3,1665.0,3,86.91,150
Budigere,1,664.0,1,35.0,50
Sonnenahalli,2,1011.0,2,50.53,194
others,6,2400.0,6,130.0,219
others,3,1680.0,3,85.0,219
Uttarahalli,3,1350.0,2,53.0,205
others,2,875.0,2,33.0,219
Hennur,2,1231.0,2,48.0,89
Munnekollal,3,1560.0,3,75.0,156
others,2,1464.0,2,56.0,219
Kanakpura Road,3,2200.0,3,130.0,120
Devanahalli,2,1080.0,2,44.0,62
Begur Road,3,1500.0,2,55.0,40
Kodichikkanahalli,4,3250.0,4,180.0,131
Hoodi,2,1500.0,2,84.0,91
Thanisandra,1,1380.0,1,62.1,199
others,2,1200.0,2,50.0,219
others,1,705.0,1,36.5,219
others,3,1340.0,3,77.0,219
others,3,1800.0,3,70.0,219
R.T. Nagar,2,1200.0,2,45.0,174
Sarjapur  Road,1,685.0,1,40.0,185
others,2,925.0,2,42.0,219
others,2,1230.0,2,57.0,219
Kodichikkanahalli,2,1125.0,2,52.0,131
Hebbal,2,1100.0,2,54.0,86
Jakkur,3,1858.0,3,98.3,103
HSR Layout,2,1185.0,2,60.0,83
Hennur,2,1255.0,2,58.0,89
Chikka Tirupathi,3,1616.0,3,95.0,54
Electronic City,3,1700.0,3,75.0,70
Kanakpura Road,2,1090.0,2,54.54,120
Yeshwanthpur,4,3600.0,5,220.0,218
Green Glen Layout,2,1050.0,2,48.0,78
Hennur Road,3,1664.0,2,93.865,90
others,3,1485.0,3,85.0,219
Sarjapur  Road,2,944.0,2,35.0,185
Whitefield,2,1216.0,2,66.48,213
others,2,1100.0,2,39.5,219
Thanisandra,3,1743.0,3,93.25,199
Yelahanka,2,1274.0,2,48.42,215
Cox Town,3,1650.0,3,100.0,59
Whitefield,3,1350.0,3,54.0,213
Hormavu,2,1141.0,2,44.4,94
Anandapura,2,1151.0,2,43.1,16
Sarjapur  Road,2,915.0,2,38.0,185
Bannerghatta Road,2,1115.0,2,65.12,35
Kaggadasapura,2,1200.0,2,53.0,111
Singasandra,2,1300.0,2,65.0,191
Bellandur,2,1457.0,2,85.0,41
Kannamangala,2,1262.0,2,55.0,121
Attibele,1,420.0,1,17.0,22
Kanakapura,2,1160.0,2,46.39,119
Kasavanhalli,2,1115.0,2,50.0,123
Babusapalaya,2,1500.0,2,57.0,25
HSR Layout,2,1127.0,2,68.0,83
Whitefield,2,1173.0,2,60.0,213
others,4,3200.0,3,190.0,219
Sarjapur  Road,2,858.0,2,31.57,185
Uttarahalli,3,1689.28,3,91.2,205
Channasandra,6,4200.0,6,180.0,53
Haralur Road,4,3185.0,2,175.0,84
others,2,970.0,2,40.0,219
Kasavanhalli,2,1125.0,2,61.2,123
Sonnenahalli,2,1157.0,2,42.0,194
Marathahalli,4,4000.0,4,220.0,153
Yeshwanthpur,2,1168.0,2,64.08,218
Chandapura,2,877.0,2,42.0,52
Electronics City Phase 1,2,1340.0,2,75.0,72
others,3,1405.0,2,70.0,219
others,3,1800.0,3,65.0,219
others,3,1360.0,2,65.0,219
others,3,1490.0,2,88.0,219
others,2,620.0,1,25.0,219
Hormavu,2,1130.0,2,42.3,94
Yelachenahalli,2,1080.0,2,55.0,214
Singasandra,4,3126.0,4,120.0,191
Begur Road,3,1410.0,2,52.17,40
Bommanahalli,3,1375.0,3,59.0,46
Electronic City,2,1128.0,2,68.0,70
others,4,4428.0,4,255.0,219
Kanakpura Road,2,1051.0,2,56.74,120
Kannamangala,4,2400.0,4,130.0,121
others,2,1301.0,2,55.0,219
others,1,650.0,1,30.0,219
Varthur,3,1200.0,3,67.75,206
others,3,1500.0,2,89.99,219
Sarjapur  Road,2,984.0,2,45.91,185
others,1,910.0,1,42.0,219
Begur Road,3,1615.0,3,58.0,40
Sarjapur  Road,2,1400.0,2,68.0,185
CV Raman Nagar,2,1070.0,2,47.5,51
others,3,2000.0,3,85.0,219
Raja Rajeshwari Nagar,2,1090.0,2,43.59,176
Gottigere,3,1500.0,3,70.0,77
Whitefield,2,1269.0,2,75.0,213
Marathahalli,2,1208.0,2,70.0,153
Ramamurthy Nagar,2,1185.0,2,45.5,180
Anekal,2,888.0,2,34.0,18
others,1,532.0,1,22.49,219
others,3,1060.0,3,62.0,219
Electronic City,1,700.0,1,35.0,70
others,2,902.0,2,42.0,219
Doddathoguru,2,984.0,2,51.0,66
Hebbal,4,2700.0,2,100.0,86
Haralur Road,2,1300.0,2,79.0,84
Akshaya Nagar,3,1666.0,3,95.0,12
Murugeshpalya,3,1845.0,3,91.0,157
Uttarahalli,2,1137.0,2,63.0,205
Electronic City,3,1360.0,2,70.5,70
others,3,1374.0,2,70.0,219
others,4,2145.0,4,125.0,219
others,2,1080.0,2,55.0,219
Electronic City Phase II,3,1790.0,3,100.0,71
Somasundara Palya,2,1033.0,2,48.0,192
others,2,1240.0,2,52.6,219
Kasavanhalli,3,1915.0,3,80.0,123
Whitefield,3,1545.0,3,79.0,213
others,2,1200.0,2,49.0,219
Kengeri,2,963.0,2,40.0,128
Yelahanka,3,1371.0,2,65.0,215
Hennur Road,2,901.0,2,49.5,90
others,2,1203.0,2,59.86,219
Horamavu Banaswadi,2,1357.0,2,54.0,93
others,3,1600.0,3,76.0,219
Yelahanka New Town,1,350.0,1,13.5,216
Sarjapur  Road,1,835.0,1,46.95,185
Haralur Road,3,1444.0,2,80.0,84
Kanakapura,2,1277.0,2,55.0,119
Kothanur,6,4000.0,6,150.0,139
Marathahalli,3,1525.0,3,90.0,153
others,3,1320.0,2,73.0,219
Electronic City Phase II,2,769.0,2,40.0,71
Hennur Road,3,1445.0,3,86.56,90
Bommasandra,2,902.0,2,49.0,47
Yelahanka,3,1712.0,3,82.0,215
Somasundara Palya,3,1575.0,3,63.1,192
Margondanahalli,2,1000.0,2,57.0,154
others,2,1100.0,2,56.1,219
Electronic City,2,1089.0,2,45.0,70
Horamavu Agara,2,1106.0,2,43.09,92
Kengeri,2,927.0,2,37.0,128
Kanakpura Road,2,1339.0,2,58.0,120
Thanisandra,1,923.0,1,45.69,199
Thubarahalli,2,975.0,2,55.0,201
Subramanyapura,3,1330.0,3,72.0,195
Thanisandra,2,1183.0,2,59.74,199
Pai Layout,2,1100.0,2,50.0,171
Ramamurthy Nagar,2,1170.0,2,46.8,180
others,5,2400.0,5,120.0,219
Hoodi,2,1055.0,2,57.63,91
Sarjapur  Road,2,1280.0,2,76.0,185
Nagarbhavi,3,1560.0,3,66.0,161
Sarjapur  Road,2,1145.0,2,49.5,185
others,3,1350.0,2,65.0,219
Bannerghatta Road,3,1893.0,3,100.0,35
Chandapura,3,1107.0,2,43.0,52
Kumaraswami Layout,2,1000.0,2,48.5,142
KR Puram,2,1100.0,2,46.0,108
Electronic City,2,1110.0,2,40.0,70
Sarjapur  Road,3,1470.0,3,62.0,185
others,3,1400.0,2,62.0,219
Bellandur,2,1195.0,2,51.0,41
others,2,1302.0,2,69.1,219
Begur Road,3,1583.0,3,74.4,40
others,3,1488.0,2,60.0,219
Banashankari,2,1330.0,2,78.0,27
Devanahalli,3,1282.0,2,52.43,62
others,3,1853.0,3,82.0,219
others,2,861.0,2,35.0,219
Bannerghatta Road,3,1600.0,3,95.0,35
others,2,1256.0,2,62.8,219
others,3,1390.0,2,80.0,219
others,3,1550.0,2,90.0,219
Hebbal,2,919.0,2,49.0,86
Margondanahalli,3,1625.0,3,80.0,154
Gunjur,2,1195.0,2,44.0,80
Yelenahalli,2,1159.0,2,60.0,217
Whitefield,3,1386.0,3,57.46,213
Jigani,4,4303.5,2,226.0,106
Bommasandra,3,1295.0,2,50.28,47
Whitefield,2,1200.0,2,45.84,213
others,2,1080.0,2,39.0,219
Kathriguppe,3,1350.0,2,80.99,125
Kothanur,2,1185.0,2,59.0,139
Tindlu,3,1500.0,3,87.0,202
KR Puram,2,1290.0,2,49.02,108
others,3,1531.0,3,72.0,219
Tumkur Road,3,1343.5,3,57.76,203
Banashankari Stage III,4,2000.0,4,100.0,29
Kaval Byrasandra,2,1100.0,2,46.0,126
others,2,1200.0,2,55.0,219
Bannerghatta,3,1618.0,3,68.0,34
Whitefield,4,2830.0,5,160.0,213
Uttarahalli,3,1315.0,2,74.0,205
Anandapura,2,1141.0,2,42.75,16
AECS Layout,2,1080.0,2,55.0,10
HBR Layout,2,1200.0,2,60.0,81
Varthur,2,1111.0,2,41.88,206
NGR Layout,2,1022.0,2,45.9,159
Bannerghatta Road,2,1275.0,2,65.0,35
Battarahalli,2,1135.0,2,43.0,38
Rachenahalli,2,1050.0,2,52.1,175
Gottigere,3,1621.0,3,72.0,77
Bannerghatta Road,2,892.0,2,39.0,35
Kengeri,2,726.0,2,35.0,128
Horamavu Agara,2,1079.0,2,41.0,92
Begur Road,2,1170.0,2,46.0,40
Kanakpura Road,2,950.0,2,45.0,120
Ramagondanahalli,2,1215.0,2,45.5,179
Sarjapur  Road,3,1691.0,3,98.0,185
Hulimavu,2,1225.0,2,55.0,99
Electronic City Phase II,2,900.0,2,32.5,71
Iblur Village,2,1400.0,2,68.0,101
Hulimavu,2,1255.0,2,74.0,99
Thanisandra,2,1296.0,2,72.0,199
Horamavu Banaswadi,2,925.0,2,38.0,93
Raja Rajeshwari Nagar,2,1023.0,2,42.0,176
Thanisandra,2,1020.0,2,44.5,199
Choodasandra,3,1530.0,3,77.0,57
Gubbalala,3,1650.0,3,71.0,79
others,3,1605.0,2,85.0,219
Kogilu,2,1190.0,2,50.66,135
Jakkur,3,1374.0,3,68.0,103
6th Phase JP Nagar,2,1140.0,2,65.0,6
Bisuvanahalli,3,1075.0,2,50.0,45
Kannamangala,3,1574.0,3,93.34,121
Marathahalli,3,1550.0,3,83.0,153
others,2,1205.0,2,60.0,219
Kambipura,3,1082.0,2,55.0,116
Uttarahalli,3,1215.0,2,52.85,205
others,2,1200.0,3,46.14,219
Kanakpura Road,3,1452.0,3,60.98,120
others,2,1125.0,2,44.0,219
others,2,1200.0,2,70.0,219
Uttarahalli,3,1312.5,3,51.19,205
Somasundara Palya,2,1329.0,2,70.0,192
Chandapura,2,1200.0,2,60.0,52
others,1,813.0,1,39.0,219
Kalena Agrahara,2,800.0,2,30.0,114
Hormavu,3,1500.0,3,70.0,94
Bannerghatta Road,3,1880.0,3,95.0,35
Electronic City,3,1440.0,2,55.0,70
Akshaya Nagar,3,1575.0,3,90.0,12
others,3,1630.0,2,97.78,219
Yelahanka,3,1180.0,3,55.0,215
Raja Rajeshwari Nagar,2,1070.0,2,50.0,176
Kumaraswami Layout,2,1000.0,2,58.0,142
others,2,1150.0,2,56.0,219
others,2,1141.0,2,49.0,219
Jigani,2,937.0,2,44.0,106
Green Glen Layout,2,1075.0,2,60.0,78
Kasavanhalli,3,1450.0,3,77.41,123
others,2,936.0,2,43.0,219
others,2,1280.0,2,75.0,219
Babusapalaya,2,1050.0,2,45.0,25
Devanahalli,2,1174.0,2,59.0,62
others,1,500.0,1,24.0,219
Gottigere,3,1304.0,3,80.0,77
Bisuvanahalli,3,1075.0,2,52.0,45
others,2,1100.0,2,50.0,219
Billekahalli,2,1140.0,2,50.0,44
Kudlu Gate,3,1532.0,3,83.0,141
Padmanabhanagar,3,1531.0,2,75.0,170
Uttarahalli,2,1325.0,2,53.0,205
Electronic City,3,1156.0,2,44.0,70
Bannerghatta Road,2,1260.0,2,70.0,35
Vittasandra,2,1934.0,2,90.0,212
Malleshpalya,2,1060.0,2,40.0,151
others,4,3200.0,5,150.0,219
others,2,1196.0,2,56.81,219
EPIP Zone,2,1280.0,2,69.0,69
Hulimavu,2,1175.0,2,45.0,99
others,3,1850.0,3,98.0,219
Whitefield,2,1195.0,2,70.0,213
Jakkur,2,1050.0,2,49.87,103
others,2,1512.0,1,65.01,219
Subramanyapura,2,929.0,2,48.0,195
Jigani,3,1252.0,3,61.0,106
Electronics City Phase 1,3,1124.0,2,55.0,72
Prithvi Layout,2,1352.0,2,75.0,173
Electronic City,2,1152.0,2,65.0,70
others,3,1575.0,3,93.0,219
others,3,1300.0,2,70.0,219
Marathahalli,2,957.0,2,47.0,153
Kanakpura Road,5,1080.0,6,65.0,120
others,2,975.0,2,50.0,219
Ramamurthy Nagar,2,1150.0,2,51.0,180
Whitefield,3,1738.0,2,79.0,213
Bommanahalli,3,1250.0,3,55.0,46
Bannerghatta Road,3,1788.0,3,90.0,35
Kanakapura,2,1151.0,2,59.0,119
Uttarahalli,3,1300.0,2,60.0,205
others,2,1380.0,2,75.0,219
Babusapalaya,2,1141.0,2,45.9,25
Banashankari Stage V,3,1355.0,2,61.0,30
Dasarahalli,2,1150.0,2,70.0,61
others,2,1000.0,2,45.0,219
Kothanur,3,1436.0,3,70.0,139
Somasundara Palya,3,2372.0,3,140.0,192
Rayasandra,2,1016.0,2,58.0,181
Dodda Nekkundi,2,1100.0,2,48.0,63
others,2,1080.0,2,45.0,219
Electronic City,2,1070.0,2,60.0,70
Hennur,2,1040.0,2,42.12,89
Tumkur Road,2,1137.5,2,48.905,203
Thanisandra,3,1430.0,2,51.6,199
others,3,1827.0,3,100.0,219
Electronic City,2,1128.0,2,65.5,70
Budigere,3,1820.0,3,93.0,50
Raja Rajeshwari Nagar,3,1510.0,2,59.0,176
Hoodi,3,1925.0,2,114.0,91
Kumaraswami Layout,2,1000.0,2,36.0,142
Sahakara Nagar,2,960.0,2,56.0,182
others,2,1180.0,2,63.0,219
Bisuvanahalli,3,1180.0,2,46.0,45
others,3,1300.0,3,47.0,219
Kanakpura Road,3,1300.0,3,69.0,120
Banashankari Stage III,3,1305.0,2,59.0,29
Hoskote,2,1170.0,2,45.0,97
Yelachenahalli,2,1400.0,2,78.0,214
others,3,1155.0,2,60.0,219
Hormavu,3,1725.0,3,85.0,94
Kanakpura Road,2,700.0,2,40.0,120
others,3,1540.0,3,68.0,219
Nehru Nagar,4,2342.0,3,115.0,166
others,3,1200.0,2,55.0,219
Kanakpura Road,3,1450.0,3,54.3,120
others,2,1097.0,2,65.0,219
Uttarahalli,2,850.0,2,35.0,205
Electronic City,2,1200.0,2,59.0,70
Kasavanhalli,2,1200.0,2,50.3,123
Banashankari,3,1400.0,2,78.0,27
Kanakpura Road,1,458.0,1,19.695,120
Marathahalli,2,1230.0,2,57.0,153
Kalyan nagar,3,1640.0,3,88.0,115
Banashankari,2,1020.0,2,40.79,27
Uttarahalli,3,1627.86,3,88.0,205
Hosa Road,2,1133.0,2,52.0,95
Marathahalli,2,1200.0,2,58.0,153
Raja Rajeshwari Nagar,2,1128.0,2,48.79,176
Amruthahalli,2,1100.0,2,45.0,15
Sarjapur,3,2020.0,3,85.0,184
Panathur,3,1315.0,2,59.1,172
Hennur Road,3,1192.0,2,62.0,90
Whitefield,2,1250.0,2,72.0,213
Whitefield,1,709.0,1,34.385,213
Whitefield,2,1340.0,2,77.0,213
others,2,1355.0,2,75.0,219
Bannerghatta Road,2,1150.0,2,65.0,35
Kanakapura,3,1938.0,3,113.0,119
Begur Road,4,2462.0,4,124.0,40
Budigere,3,1636.0,3,85.0,50
Akshaya Nagar,3,1430.0,2,75.0,12
others,3,2000.0,3,85.0,219
Electronic City Phase II,3,993.0,2,50.0,71
Kanakpura Road,3,1700.0,3,88.0,120
Marathahalli,3,1650.0,3,86.45,153
Panathur,2,1109.0,2,63.0,172
others,2,1280.0,2,49.75,219
Kothanur,3,1462.0,3,71.0,139
Marathahalli,1,607.0,1,35.0,153
JP Nagar,4,3000.0,4,140.0,102
Electronic City Phase II,3,1418.0,3,52.47,71
others,2,4200.0,1,160.0,219
EPIP Zone,2,1125.0,2,65.0,69
Whitefield,2,1320.0,2,79.5,213
JP Nagar,4,3000.0,4,140.0,102
Yelahanka,3,1400.0,2,80.54,215
Whitefield,3,1200.0,3,61.96,213
others,2,965.0,2,48.0,219
KR Puram,2,1100.0,2,43.0,108
HSR Layout,2,1145.0,2,48.0,83
others,2,1215.0,2,49.85,219
Kenchenahalli,2,1015.0,2,58.0,127
7th Phase JP Nagar,3,3300.0,4,160.0,7
others,2,1076.0,2,52.0,219
Hormavu,2,1153.0,2,65.0,94
Hulimavu,2,1255.0,2,69.0,99
others,2,1505.0,2,90.0,219
Kathriguppe,3,1365.0,2,75.08,125
Channasandra,2,1115.0,2,40.0,53
Uttarahalli,3,1490.0,2,59.6,205
Bannerghatta Road,4,10000.0,4,450.0,35
Sarjapur  Road,3,1592.0,3,91.0,185
Thanisandra,3,1698.0,3,102.0,199
others,3,1500.0,3,70.0,219
others,4,2000.0,5,80.0,219
Electronic City,2,1152.0,2,65.75,70
Raja Rajeshwari Nagar,1,550.0,1,21.0,176
others,2,900.0,2,42.0,219
Akshaya Nagar,3,1419.0,2,73.0,12
AECS Layout,3,1800.0,3,65.0,10
Gottigere,2,990.0,2,40.0,77
Sarjapur  Road,2,1016.0,2,45.0,185
others,3,2000.0,3,85.0,219
Budigere,2,1444.0,2,70.0,50
Whitefield,2,1415.0,2,67.0,213
others,3,1600.0,3,72.0,219
Whitefield,2,1105.0,2,41.36,213
Electronic City,3,1225.0,3,45.03,70
Whitefield,3,2094.0,2,113.19,213
5th Phase JP Nagar,3,1485.0,2,67.0,5
Whitefield,2,1200.0,2,45.0,213
Hennur Road,2,1036.0,2,59.46,90
others,2,1400.0,2,80.0,219
Kodichikkanahalli,2,1150.0,2,48.0,131
Jakkur,4,2283.0,4,130.0,103
Nagarbhavi,3,1400.0,2,85.0,161
Padmanabhanagar,3,1400.0,3,65.0,170
Nagarbhavi,3,1515.0,2,79.0,161
Yeshwanthpur,3,1382.0,2,76.18,218
Yelahanka,3,1391.0,2,64.5,215
Begur Road,2,1160.0,2,42.92,40
Chandapura,1,620.0,1,27.0,52
Kanakpura Road,3,1482.0,3,60.98,120
Whitefield,2,1405.0,2,84.5,213
Jigani,2,923.0,2,50.0,106
others,3,1460.0,3,70.0,219
others,1,833.0,1,49.0,219
Ramamurthy Nagar,2,1200.0,2,48.0,180
Yeshwanthpur,1,669.0,1,36.85,218
7th Phase JP Nagar,3,2200.0,4,105.0,7
Kothanur,3,1790.0,3,105.0,139
NGR Layout,2,1020.0,2,45.0,159
Whitefield,3,1345.0,2,57.0,213
Kodichikkanahalli,2,1070.0,2,43.0,131
Yeshwanthpur,3,1385.0,2,76.18,218
Varthur,2,1140.0,2,55.5,206
others,2,1220.0,2,68.0,219
Sarjapur  Road,3,1965.0,3,120.0,185
Haralur Road,2,1225.0,2,70.0,84
Marathahalli,2,1075.0,2,52.43,153
others,3,1545.0,3,85.0,219
others,3,2000.0,2,85.0,219
others,2,780.0,2,35.0,219
Dasanapura,1,708.0,1,28.32,60
Hoodi,2,1400.0,2,82.0,91
Bellandur,2,1310.0,2,72.0,41
